identifier,authoritativeMN,dateUploaded
knb-lter-bes.119.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.120.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.118.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.115.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.169.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.162.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.166.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.156.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.163.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.171.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.160.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.159.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.161.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.164.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.167.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.165.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.172.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.170.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.173.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.175.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-sev.27.50402,urn:node:LTER,2008-10-03T23:00:00Z
knb-lter-bes.196.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.190.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.193.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.194.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.195.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.191.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.192.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.189.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.198.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.231.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.232.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.230.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.233.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.227.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.225.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.228.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.226.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.229.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.174.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.121.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.207.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.212.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.211.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.209.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.213.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.214.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.210.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.208.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.234.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.204.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.202.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.203.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.201.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.199.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.200.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.186.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.185.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.184.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.182.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.181.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.187.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.183.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.217.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.216.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.218.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.219.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.223.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.222.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.221.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.224.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.220.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.197.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-bes.188.570,urn:node:LTER,2008-05-13T23:00:00Z
knb-lter-sev.48.75280,urn:node:LTER,2008-07-24T23:00:00Z
knb-lter-bnz.332.18,urn:node:LTER,2008-07-24T23:00:00Z
knb-lter-bnz.330.18,urn:node:LTER,2008-07-24T23:00:00Z
knb-lter-bnz.331.18,urn:node:LTER,2008-07-24T23:00:00Z
knb-lter-bnz.333.18,urn:node:LTER,2008-07-24T23:00:00Z
knb-lter-bnz.335.17,urn:node:LTER,2008-07-24T23:00:00Z
knb-lter-gce.311.39,urn:node:LTER,2008-12-04T00:00:00Z
knb-lter-gce.314.20,urn:node:LTER,2008-12-25T00:00:00Z
knb-lter-gce.310.20,urn:node:LTER,2008-12-04T00:00:00Z
knb-lter-vcr.124.21,urn:node:LTER,2008-12-11T00:00:00Z
knb-lter-sev.109.39042,urn:node:LTER,2008-07-24T23:00:00Z
knb-lter-sev.96.37521,urn:node:LTER,2008-07-24T23:00:00Z
knb-lter-sev.146.23235,urn:node:LTER,2008-07-24T23:00:00Z
knb-lter-sev.200.71194,urn:node:LTER,2008-10-03T23:00:00Z
knb-lter-ntl.225.8,urn:node:LTER,2008-06-02T23:00:00Z
knb-lter-ntl.106.6,urn:node:LTER,2008-08-01T23:00:00Z
knb-lter-ntl.41.5,urn:node:LTER,2008-08-01T23:00:00Z
knb-lter-ntl.43.5,urn:node:LTER,2008-08-01T23:00:00Z
knb-lter-ntl.42.5,urn:node:LTER,2008-08-01T23:00:00Z
knb-lter-ntl.84.6,urn:node:LTER,2008-08-01T23:00:00Z
knb-lter-ntl.209.4,urn:node:LTER,2008-08-01T23:00:00Z
knb-lter-ntl.216.7,urn:node:LTER,2008-08-01T23:00:00Z
doi:10.6073/AA/knb-lter-fce.315.5,urn:node:LTER,2008-04-21T23:00:00Z
knb-lter-gce.313.26,urn:node:LTER,2008-12-18T00:00:00Z
knb-lter-gce.312.24,urn:node:LTER,2008-12-18T00:00:00Z
knb-lter-gce.303.24,urn:node:LTER,2008-01-21T00:00:00Z
knb-lter-gce.304.25,urn:node:LTER,2008-01-21T00:00:00Z
knb-lter-sbc.23.11,urn:node:LTER,2008-03-18T23:00:00Z
knb-lter-bnz.329.18,urn:node:LTER,2008-07-24T23:00:00Z
knb-lter-bnz.324.18,urn:node:LTER,2008-07-24T23:00:00Z
knb-lter-bnz.325.18,urn:node:LTER,2008-07-24T23:00:00Z
knb-lter-bnz.326.17,urn:node:LTER,2008-07-24T23:00:00Z
knb-lter-bnz.328.17,urn:node:LTER,2008-07-24T23:00:00Z
knb-lter-bnz.327.17,urn:node:LTER,2008-07-24T23:00:00Z
knb-lter-gce.315.20,urn:node:LTER,2008-12-25T00:00:00Z
knb-lter-bnz.318.19,urn:node:LTER,2008-03-01T00:00:00Z
knb-lter-bnz.315.19,urn:node:LTER,2008-03-01T00:00:00Z
knb-lter-bnz.316.19,urn:node:LTER,2008-03-01T00:00:00Z
knb-lter-bnz.317.19,urn:node:LTER,2008-03-01T00:00:00Z
