identifier,authoritativeMN,dateUploaded
knb-lter-cap.114.8,urn:node:LTER,2011-09-23T23:00:00Z
knb-lter-cap.236.9,urn:node:LTER,2011-09-23T23:00:00Z
knb-lter-cap.238.8,urn:node:LTER,2011-09-23T23:00:00Z
knb-lter-cap.232.9,urn:node:LTER,2011-09-23T23:00:00Z
knb-lter-cap.277.7,urn:node:LTER,2011-09-23T23:00:00Z
knb-lter-cap.156.9,urn:node:LTER,2011-09-23T23:00:00Z
knb-lter-cap.559.12,urn:node:LTER,2011-12-24T00:00:00Z
knb-lter-cap.557.9,urn:node:LTER,2011-10-31T23:00:00Z
knb-lter-cap.504.9,urn:node:LTER,2011-09-23T23:00:00Z
knb-lter-cap.556.10,urn:node:LTER,2011-09-23T23:00:00Z
knb-lter-sev.223.23168,urn:node:LTER,2011-09-08T23:00:00Z
knb-lter-sev.225.21212,urn:node:LTER,2011-09-08T23:00:00Z
knb-lter-sev.224.21211,urn:node:LTER,2011-09-08T23:00:00Z
knb-lter-cap.503.9,urn:node:LTER,2011-09-23T23:00:00Z
knb-lter-cap.27.9,urn:node:LTER,2011-09-23T23:00:00Z
knb-lter-cap.65.10,urn:node:LTER,2011-09-23T23:00:00Z
knb-lter-cap.49.8,urn:node:LTER,2011-09-23T23:00:00Z
knb-lter-cap.248.10,urn:node:LTER,2011-09-23T23:00:00Z
knb-lter-cap.247.9,urn:node:LTER,2011-09-23T23:00:00Z
knb-lter-cap.394.7,urn:node:LTER,2011-09-23T23:00:00Z
knb-lter-cap.393.6,urn:node:LTER,2011-10-31T23:00:00Z
knb-lter-cap.390.7,urn:node:LTER,2011-09-23T23:00:00Z
knb-lter-cap.28.9,urn:node:LTER,2011-09-23T23:00:00Z
knb-lter-cap.24.9,urn:node:LTER,2011-09-23T23:00:00Z
knb-lter-cap.76.9,urn:node:LTER,2011-09-23T23:00:00Z
knb-lter-cap.74.9,urn:node:LTER,2011-09-23T23:00:00Z
knb-lter-cap.86.11,urn:node:LTER,2011-09-23T23:00:00Z
knb-lter-cap.271.9,urn:node:LTER,2011-09-23T23:00:00Z
knb-lter-cap.377.9,urn:node:LTER,2011-09-23T23:00:00Z
knb-lter-cap.376.9,urn:node:LTER,2011-09-23T23:00:00Z
knb-lter-cap.19.8,urn:node:LTER,2011-09-23T23:00:00Z
knb-lter-cap.109.8,urn:node:LTER,2011-10-27T23:00:00Z
knb-lter-cap.106.10,urn:node:LTER,2011-10-27T23:00:00Z
knb-lter-cap.104.8,urn:node:LTER,2011-10-27T23:00:00Z
knb-lter-cap.226.10,urn:node:LTER,2011-09-23T23:00:00Z
knb-lter-cap.230.9,urn:node:LTER,2011-09-23T23:00:00Z
knb-lter-cap.246.7,urn:node:LTER,2011-10-28T23:00:00Z
knb-lter-cap.272.7,urn:node:LTER,2011-09-23T23:00:00Z
knb-lter-cap.273.6,urn:node:LTER,2011-09-23T23:00:00Z
knb-lter-cap.31.8,urn:node:LTER,2011-09-23T23:00:00Z
knb-lter-cap.30.8,urn:node:LTER,2011-09-23T23:00:00Z
knb-lter-cap.34.9,urn:node:LTER,2011-09-23T23:00:00Z
knb-lter-cap.32.7,urn:node:LTER,2011-09-23T23:00:00Z
knb-lter-cap.157.8,urn:node:LTER,2011-09-23T23:00:00Z
